Prediction Accuracy = 30.996%, Running Loss = 6.0742950439453125
Prediction Accuracy = 31.032%, Running Loss = 6.053539848327636
Prediction Accuracy = 31.060000000000002%, Running Loss = 6.033736324310302
Prediction Accuracy = 31.091999999999995%, Running Loss = 6.014908695220948
Prediction Accuracy = 31.168%, Running Loss = 5.996879959106446
Prediction Accuracy = 31.214000000000006%, Running Loss = 5.9802204132080075
Prediction Accuracy = 31.238%, Running Loss = 5.964319086074829
Prediction Accuracy = 31.274%, Running Loss = 5.949348878860474
Prediction Accuracy = 31.330000000000002%, Running Loss = 5.935244369506836
Prediction Accuracy = 31.381999999999998%, Running Loss = 5.921969223022461
Prediction Accuracy = 31.424%, Running Loss = 5.90941014289856
Prediction Accuracy = 31.462%, Running Loss = 5.897643327713013
Prediction Accuracy = 31.496000000000002%, Running Loss = 5.886808395385742
Prediction Accuracy = 31.544000000000004%, Running Loss = 5.876463842391968
Prediction Accuracy = 31.6%, Running Loss = 5.86680121421814
Prediction Accuracy = 31.628000000000004%, Running Loss = 5.857849597930908
Prediction Accuracy = 31.655999999999995%, Running Loss = 5.849362850189209
Prediction Accuracy = 31.664000000000005%, Running Loss = 5.841820478439331
Prediction Accuracy = 31.726%, Running Loss = 5.834344673156738
Prediction Accuracy = 31.790000000000003%, Running Loss = 5.827591276168823
Prediction Accuracy = 31.804000000000002%, Running Loss = 5.821050405502319
Prediction Accuracy = 31.833999999999996%, Running Loss = 5.815219783782959
Prediction Accuracy = 31.885999999999996%, Running Loss = 5.809762001037598
Prediction Accuracy = 31.934000000000005%, Running Loss = 5.8045899868011475
Prediction Accuracy = 32.022000000000006%, Running Loss = 5.7996057033538815
Prediction Accuracy = 32.048%, Running Loss = 5.795205926895141
Prediction Accuracy = 32.092%, Running Loss = 5.790992164611817
Prediction Accuracy = 32.108000000000004%, Running Loss = 5.787113761901855
Prediction Accuracy = 32.142%, Running Loss = 5.783346700668335
Prediction Accuracy = 32.178000000000004%, Running Loss = 5.780039930343628
Prediction Accuracy = 32.216%, Running Loss = 5.776654815673828
Prediction Accuracy = 32.288%, Running Loss = 5.773680019378662
Prediction Accuracy = 32.33%, Running Loss = 5.770838642120362
Prediction Accuracy = 32.372%, Running Loss = 5.768229198455811
Prediction Accuracy = 32.431999999999995%, Running Loss = 5.765671491622925
Prediction Accuracy = 32.444%, Running Loss = 5.763237571716308
Prediction Accuracy = 32.471999999999994%, Running Loss = 5.761040496826172
Prediction Accuracy = 32.498000000000005%, Running Loss = 5.758831596374511
Prediction Accuracy = 32.59400000000001%, Running Loss = 5.756834077835083
Prediction Accuracy = 32.657999999999994%, Running Loss = 5.754839611053467
Prediction Accuracy = 32.676%, Running Loss = 5.752939081192016
Prediction Accuracy = 32.708000000000006%, Running Loss = 5.751169729232788
Prediction Accuracy = 32.796%, Running Loss = 5.749478960037232
Prediction Accuracy = 32.848%, Running Loss = 5.747824668884277
