Prediction Accuracy = 42.502%, Running Loss = 5.645219802856445
Prediction Accuracy = 42.638%, Running Loss = 5.646717262268067
Prediction Accuracy = 42.49%, Running Loss = 5.643503713607788
Prediction Accuracy = 42.816%, Running Loss = 5.662364339828491
Prediction Accuracy = 42.70799999999999%, Running Loss = 5.650812482833862
Prediction Accuracy = 42.482%, Running Loss = 5.652864646911621
Prediction Accuracy = 42.564%, Running Loss = 5.6597723960876465
Prediction Accuracy = 42.391999999999996%, Running Loss = 5.653088665008545
Prediction Accuracy = 42.721999999999994%, Running Loss = 5.646192264556885
Prediction Accuracy = 42.68000000000001%, Running Loss = 5.650079870223999
Prediction Accuracy = 42.653999999999996%, Running Loss = 5.651026105880737
Prediction Accuracy = 42.576%, Running Loss = 5.666290950775147
Prediction Accuracy = 42.506%, Running Loss = 5.656321811676025
Prediction Accuracy = 42.614%, Running Loss = 5.64430570602417
Prediction Accuracy = 42.544%, Running Loss = 5.668890810012817
Prediction Accuracy = 42.454%, Running Loss = 5.663067102432251
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.6560791015625
Prediction Accuracy = 42.718%, Running Loss = 5.6642790794372555
Prediction Accuracy = 42.616%, Running Loss = 5.648605728149414
Prediction Accuracy = 42.606%, Running Loss = 5.649185419082642
Prediction Accuracy = 42.538%, Running Loss = 5.647592210769654
Prediction Accuracy = 42.59%, Running Loss = 5.659618520736695
Prediction Accuracy = 42.61%, Running Loss = 5.657055234909057
Prediction Accuracy = 42.553999999999995%, Running Loss = 5.644424200057983
Prediction Accuracy = 42.65599999999999%, Running Loss = 5.643687105178833
Prediction Accuracy = 42.586%, Running Loss = 5.662494230270386
Prediction Accuracy = 42.517999999999994%, Running Loss = 5.665043210983276
Prediction Accuracy = 42.592%, Running Loss = 5.654830074310302
Prediction Accuracy = 42.684000000000005%, Running Loss = 5.658037614822388
Prediction Accuracy = 42.519999999999996%, Running Loss = 5.6509730339050295
Prediction Accuracy = 42.5%, Running Loss = 5.655259084701538
Prediction Accuracy = 42.404%, Running Loss = 5.67550573348999
Prediction Accuracy = 42.589999999999996%, Running Loss = 5.658903932571411
Prediction Accuracy = 42.54600000000001%, Running Loss = 5.648108768463135
Prediction Accuracy = 42.559999999999995%, Running Loss = 5.650941848754883
Prediction Accuracy = 42.699999999999996%, Running Loss = 5.645791053771973
Prediction Accuracy = 42.706%, Running Loss = 5.6473109245300295
Prediction Accuracy = 42.664%, Running Loss = 5.646306753158569
Prediction Accuracy = 42.61%, Running Loss = 5.653521919250489
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.65675983428955
Prediction Accuracy = 42.662%, Running Loss = 5.6740357875823975
Prediction Accuracy = 42.462%, Running Loss = 5.672754335403442
Prediction Accuracy = 42.715999999999994%, Running Loss = 5.647518920898437
Prediction Accuracy = 42.736000000000004%, Running Loss = 5.643067312240601
Prediction Accuracy = 42.506%, Running Loss = 5.653052759170532
Prediction Accuracy = 42.668%, Running Loss = 5.6567761421203615
Prediction Accuracy = 42.544%, Running Loss = 5.654927110671997
Prediction Accuracy = 42.452%, Running Loss = 5.6649473190307615
Prediction Accuracy = 42.568%, Running Loss = 5.671648931503296
Prediction Accuracy = 42.63799999999999%, Running Loss = 5.658765029907227
