Prediction Accuracy = 37.136%, Running Loss = 5.676683807373047
Prediction Accuracy = 37.272%, Running Loss = 5.67709002494812
Prediction Accuracy = 37.342%, Running Loss = 5.677301740646362
Prediction Accuracy = 37.456%, Running Loss = 5.675790786743164
Prediction Accuracy = 37.565999999999995%, Running Loss = 5.676517200469971
Prediction Accuracy = 37.588%, Running Loss = 5.6744451999664305
Prediction Accuracy = 37.708%, Running Loss = 5.67298994064331
Prediction Accuracy = 37.681999999999995%, Running Loss = 5.673156213760376
Prediction Accuracy = 37.802%, Running Loss = 5.673442220687866
Prediction Accuracy = 37.948%, Running Loss = 5.672046184539795
Prediction Accuracy = 37.99399999999999%, Running Loss = 5.671219825744629
Prediction Accuracy = 38.004000000000005%, Running Loss = 5.669816541671753
Prediction Accuracy = 38.077999999999996%, Running Loss = 5.669539308547973
Prediction Accuracy = 38.33%, Running Loss = 5.6690535068511965
Prediction Accuracy = 38.272%, Running Loss = 5.668558025360108
Prediction Accuracy = 38.396%, Running Loss = 5.668331861495972
Prediction Accuracy = 38.440000000000005%, Running Loss = 5.667590951919555
Prediction Accuracy = 38.544%, Running Loss = 5.66684741973877
Prediction Accuracy = 38.626%, Running Loss = 5.666460180282593
Prediction Accuracy = 38.650000000000006%, Running Loss = 5.66563196182251
Prediction Accuracy = 38.773999999999994%, Running Loss = 5.664510345458984
Prediction Accuracy = 38.809999999999995%, Running Loss = 5.66434268951416
Prediction Accuracy = 38.834%, Running Loss = 5.663927745819092
Prediction Accuracy = 38.988%, Running Loss = 5.6632304191589355
Prediction Accuracy = 39.025999999999996%, Running Loss = 5.6629555225372314
Prediction Accuracy = 39.088%, Running Loss = 5.661762619018555
Prediction Accuracy = 39.188%, Running Loss = 5.661157751083374
Prediction Accuracy = 39.244%, Running Loss = 5.660844230651856
Prediction Accuracy = 39.356%, Running Loss = 5.660503005981445
Prediction Accuracy = 39.43%, Running Loss = 5.660391092300415
Prediction Accuracy = 39.418000000000006%, Running Loss = 5.66003303527832
Prediction Accuracy = 39.554%, Running Loss = 5.659057760238648
Prediction Accuracy = 39.694%, Running Loss = 5.6581731796264645
Prediction Accuracy = 39.688%, Running Loss = 5.6580384254455565
Prediction Accuracy = 39.746%, Running Loss = 5.657880353927612
Prediction Accuracy = 39.8%, Running Loss = 5.656553506851196
Prediction Accuracy = 39.897999999999996%, Running Loss = 5.659176921844482
Prediction Accuracy = 39.988%, Running Loss = 5.656456756591797
Prediction Accuracy = 40.068%, Running Loss = 5.655858516693115
Prediction Accuracy = 40.08800000000001%, Running Loss = 5.654660940170288
Prediction Accuracy = 40.224000000000004%, Running Loss = 5.654625368118286
Prediction Accuracy = 40.274%, Running Loss = 5.653260135650635
Prediction Accuracy = 40.22%, Running Loss = 5.652914714813233
Prediction Accuracy = 40.39%, Running Loss = 5.652367973327637
Prediction Accuracy = 40.406%, Running Loss = 5.6520147800445555
Prediction Accuracy = 40.459999999999994%, Running Loss = 5.651626873016357
Prediction Accuracy = 40.541999999999994%, Running Loss = 5.652635812759399
Prediction Accuracy = 40.602000000000004%, Running Loss = 5.64929313659668
Prediction Accuracy = 40.614%, Running Loss = 5.651081562042236
Prediction Accuracy = 40.676%, Running Loss = 5.650501108169555
Prediction Accuracy = 40.754%, Running Loss = 5.648896598815918
Prediction Accuracy = 40.8%, Running Loss = 5.648437643051148
Prediction Accuracy = 40.84599999999999%, Running Loss = 5.647622537612915
Prediction Accuracy = 40.90599999999999%, Running Loss = 5.649827384948731
Prediction Accuracy = 40.934000000000005%, Running Loss = 5.6487610816955565
Prediction Accuracy = 40.968%, Running Loss = 5.647001314163208
Prediction Accuracy = 41.098%, Running Loss = 5.6462524890899655
Prediction Accuracy = 41.054%, Running Loss = 5.646109867095947
Prediction Accuracy = 41.202000000000005%, Running Loss = 5.645592308044433
Prediction Accuracy = 41.156000000000006%, Running Loss = 5.645203161239624
Prediction Accuracy = 41.348000000000006%, Running Loss = 5.644934225082397
Prediction Accuracy = 41.34599999999999%, Running Loss = 5.644531011581421
Prediction Accuracy = 41.308%, Running Loss = 5.644863748550415
Prediction Accuracy = 41.426%, Running Loss = 5.645580244064331
Prediction Accuracy = 41.434000000000005%, Running Loss = 5.644545030593872
Prediction Accuracy = 41.471999999999994%, Running Loss = 5.644043397903443
Prediction Accuracy = 41.536%, Running Loss = 5.6455220699310305
Prediction Accuracy = 41.605999999999995%, Running Loss = 5.649861812591553
Prediction Accuracy = 41.687999999999995%, Running Loss = 5.647539901733398
Prediction Accuracy = 41.74999999999999%, Running Loss = 5.643761682510376
Prediction Accuracy = 41.69%, Running Loss = 5.644161415100098
Prediction Accuracy = 41.80199999999999%, Running Loss = 5.642207860946655
Prediction Accuracy = 41.876000000000005%, Running Loss = 5.642794561386109
Prediction Accuracy = 41.816%, Running Loss = 5.642924070358276
Prediction Accuracy = 41.910000000000004%, Running Loss = 5.643012142181396
Prediction Accuracy = 41.926%, Running Loss = 5.641176319122314
Prediction Accuracy = 41.97%, Running Loss = 5.642565631866455
Prediction Accuracy = 41.986000000000004%, Running Loss = 5.643419027328491
Prediction Accuracy = 41.98%, Running Loss = 5.641897058486938
Prediction Accuracy = 42.044%, Running Loss = 5.640870571136475
Prediction Accuracy = 42.112%, Running Loss = 5.640293025970459
Prediction Accuracy = 42.198%, Running Loss = 5.641114950180054
