Prediction Accuracy = 28.125999999999998%, Running Loss = 6.159510612487793
Prediction Accuracy = 28.104000000000003%, Running Loss = 6.139522838592529
Prediction Accuracy = 28.134000000000004%, Running Loss = 6.120349740982055
Prediction Accuracy = 28.206%, Running Loss = 6.10196270942688
Prediction Accuracy = 28.27%, Running Loss = 6.084639406204223
Prediction Accuracy = 28.26%, Running Loss = 6.068270587921143
Prediction Accuracy = 28.276%, Running Loss = 6.05222635269165
Prediction Accuracy = 28.306%, Running Loss = 6.037051200866699
Prediction Accuracy = 28.330000000000002%, Running Loss = 6.022871685028076
Prediction Accuracy = 28.387999999999998%, Running Loss = 6.009392929077149
Prediction Accuracy = 28.385999999999996%, Running Loss = 5.996691608428955
Prediction Accuracy = 28.424%, Running Loss = 5.984098243713379
Prediction Accuracy = 28.514%, Running Loss = 5.972544097900391
Prediction Accuracy = 28.526%, Running Loss = 5.961731433868408
Prediction Accuracy = 28.576%, Running Loss = 5.95117335319519
Prediction Accuracy = 28.622000000000003%, Running Loss = 5.941471099853516
Prediction Accuracy = 28.694%, Running Loss = 5.93204698562622
Prediction Accuracy = 28.738%, Running Loss = 5.923336791992187
Prediction Accuracy = 28.736%, Running Loss = 5.914894914627075
Prediction Accuracy = 28.786%, Running Loss = 5.907199811935425
Prediction Accuracy = 28.875999999999998%, Running Loss = 5.899636554718017
Prediction Accuracy = 28.945999999999998%, Running Loss = 5.8926849365234375
Prediction Accuracy = 28.964%, Running Loss = 5.886132287979126
Prediction Accuracy = 29.01%, Running Loss = 5.87962589263916
Prediction Accuracy = 29.059999999999995%, Running Loss = 5.873698472976685
Prediction Accuracy = 29.106%, Running Loss = 5.868064069747925
Prediction Accuracy = 29.182%, Running Loss = 5.862724018096924
Prediction Accuracy = 29.208%, Running Loss = 5.857514047622681
Prediction Accuracy = 29.264%, Running Loss = 5.852812814712524
Prediction Accuracy = 29.304000000000002%, Running Loss = 5.848154354095459
Prediction Accuracy = 29.383999999999997%, Running Loss = 5.843786764144897
Prediction Accuracy = 29.447999999999997%, Running Loss = 5.839609622955322
Prediction Accuracy = 29.468%, Running Loss = 5.8357728004455565
Prediction Accuracy = 29.524%, Running Loss = 5.831919240951538
Prediction Accuracy = 29.608000000000004%, Running Loss = 5.828290891647339
Prediction Accuracy = 29.688000000000006%, Running Loss = 5.824795246124268
Prediction Accuracy = 29.772%, Running Loss = 5.8215724468231205
Prediction Accuracy = 29.822000000000003%, Running Loss = 5.818321895599365
Prediction Accuracy = 29.872000000000003%, Running Loss = 5.815300941467285
Prediction Accuracy = 29.901999999999997%, Running Loss = 5.812311220169067
Prediction Accuracy = 30.034%, Running Loss = 5.809454393386841
Prediction Accuracy = 30.084000000000003%, Running Loss = 5.806795740127564
Prediction Accuracy = 30.142000000000003%, Running Loss = 5.80416316986084
Prediction Accuracy = 30.203999999999997%, Running Loss = 5.801718091964721
Prediction Accuracy = 30.270000000000003%, Running Loss = 5.799140930175781
Prediction Accuracy = 30.356%, Running Loss = 5.796828413009644
Prediction Accuracy = 30.422000000000004%, Running Loss = 5.79445447921753
Prediction Accuracy = 30.430000000000007%, Running Loss = 5.7922440528869625
Prediction Accuracy = 30.494000000000007%, Running Loss = 5.790114307403565
Prediction Accuracy = 30.620000000000005%, Running Loss = 5.787898302078247
Prediction Accuracy = 30.703999999999997%, Running Loss = 5.78584623336792
Prediction Accuracy = 30.71999999999999%, Running Loss = 5.783834600448609
Prediction Accuracy = 30.805999999999994%, Running Loss = 5.781837701797485
Prediction Accuracy = 30.866000000000003%, Running Loss = 5.779955673217773
Prediction Accuracy = 30.895999999999997%, Running Loss = 5.778027105331421
Prediction Accuracy = 30.908000000000005%, Running Loss = 5.776212739944458
Prediction Accuracy = 30.972%, Running Loss = 5.7744463920593265
Prediction Accuracy = 31.044%, Running Loss = 5.772709560394287
Prediction Accuracy = 31.119999999999997%, Running Loss = 5.770933771133423
Prediction Accuracy = 31.218%, Running Loss = 5.7693219661712645
Prediction Accuracy = 31.248%, Running Loss = 5.767603158950806
Prediction Accuracy = 31.298000000000002%, Running Loss = 5.765978384017944
Prediction Accuracy = 31.404000000000003%, Running Loss = 5.764459466934204
Prediction Accuracy = 31.488%, Running Loss = 5.7628724575042725
Prediction Accuracy = 31.547999999999995%, Running Loss = 5.761368656158448
Prediction Accuracy = 31.628000000000004%, Running Loss = 5.759878873825073
Prediction Accuracy = 31.645999999999997%, Running Loss = 5.758400106430054
Prediction Accuracy = 31.689999999999998%, Running Loss = 5.756976127624512
Prediction Accuracy = 31.814%, Running Loss = 5.755473947525024
Prediction Accuracy = 31.9%, Running Loss = 5.754116868972778
Prediction Accuracy = 31.926%, Running Loss = 5.752869558334351
Prediction Accuracy = 32.042%, Running Loss = 5.75133490562439
Prediction Accuracy = 32.089999999999996%, Running Loss = 5.750047063827514
Prediction Accuracy = 32.142%, Running Loss = 5.7488078594207765
Prediction Accuracy = 32.226%, Running Loss = 5.7475457191467285
Prediction Accuracy = 32.274%, Running Loss = 5.7462073802948
Prediction Accuracy = 32.33599999999999%, Running Loss = 5.744973468780517
Prediction Accuracy = 32.38000000000001%, Running Loss = 5.743718576431275
Prediction Accuracy = 32.432%, Running Loss = 5.742642736434936
Prediction Accuracy = 32.558%, Running Loss = 5.741466093063354
Prediction Accuracy = 32.614%, Running Loss = 5.740231561660766
Prediction Accuracy = 32.587999999999994%, Running Loss = 5.739179468154907
Prediction Accuracy = 32.724000000000004%, Running Loss = 5.737926721572876
Prediction Accuracy = 32.842%, Running Loss = 5.736795377731323
Prediction Accuracy = 32.912%, Running Loss = 5.735809183120727
Prediction Accuracy = 32.962%, Running Loss = 5.7346161842346195
Prediction Accuracy = 33.034%, Running Loss = 5.733674001693726
Prediction Accuracy = 33.066%, Running Loss = 5.732699012756347
Prediction Accuracy = 33.102%, Running Loss = 5.7315386772155765
