"Step","base policy - steps_to_solve","base policy - steps_to_solve__MIN","base policy - steps_to_solve__MAX","Approx Sig Sequential - steps_to_solve","Approx Sig Sequential - steps_to_solve__MIN","Approx Sig Sequential - steps_to_solve__MAX","Rand Sig Sequential - steps_to_solve","Rand Sig Sequential - steps_to_solve__MIN","Rand Sig Sequential - steps_to_solve__MAX","Sequential - steps_to_solve","Sequential - steps_to_solve__MIN","Sequential - steps_to_solve__MAX"
"106","51","51","51","4","4","4","9","9","9","4","4","4"
"107","47","47","47","8","8","8","12","12","12","7","7","7"
"108","12","12","12","5","5","5","5","5","5","8","8","8"
"109","23","23","23","6","6","6","15","15","15","10","10","10"
"110","9","9","9","12","12","12","23","23","23","21","21","21"
"111","17","17","17","21","21","21","10","10","10","10","10","10"
"112","11","11","11","5","5","5","3","3","3","3","3","3"
"113","10","10","10","13","13","13","27","27","27","10","10","10"
"114","20","20","20","27","27","27","8","8","8","10","10","10"
"115","18","18","18","21","21","21","29","29","29","13","13","13"
"116","20","20","20","19","19","19","7","7","7","8","8","8"
"117","5","5","5","7","7","7","7","7","7","14","14","14"
"118","20","20","20","14","14","14","10","10","10","14","14","14"
"119","14","14","14","3","3","3","11","11","11","4","4","4"
"120","54","54","54","6","6","6","5","5","5","5","5","5"
"121","15","15","15","6","6","6","6","6","6","9","9","9"
"122","4","4","4","11","11","11","15","15","15","13","13","13"
"123","16","16","16","14","14","14","16","16","16","21","21","21"
"124","11","11","11","20","20","20","20","20","20","13","13","13"
"125","17","17","17","9","9","9","10","10","10","11","11","11"
"126","24","24","24","13","13","13","24","24","24","12","12","12"
"127","13","13","13","11","11","11","18","18","18","11","11","11"
"128","4","4","4","9","9","9","34","34","34","19","19","19"
"129","17","17","17","7","7","7","9","9","9","7","7","7"
"130","23","23","23","12","12","12","12","12","12","16","16","16"
"131","21","21","21","9","9","9","26","26","26","16","16","16"
"132","12","12","12","16","16","16","18","18","18","14","14","14"
"133","17","17","17","10","10","10","13","13","13","13","13","13"
"134","6","6","6","7","7","7","18","18","18","8","8","8"
