Prediction Accuracy = 41.565999999999995%, Running Loss = 5.66827823638916
Prediction Accuracy = 40.361999999999995%, Running Loss = 5.696719741821289
Prediction Accuracy = 41.495999999999995%, Running Loss = 5.66859546661377
Prediction Accuracy = 42.242000000000004%, Running Loss = 5.66356653213501
Prediction Accuracy = 41.882%, Running Loss = 5.675636682510376
Prediction Accuracy = 40.528%, Running Loss = 5.677220811843872
Prediction Accuracy = 41.76%, Running Loss = 5.66083270072937
Prediction Accuracy = 41.90200000000001%, Running Loss = 5.705481910705567
Prediction Accuracy = 40.264%, Running Loss = 5.680319938659668
Prediction Accuracy = 41.736000000000004%, Running Loss = 5.6630854892730715
Prediction Accuracy = 41.288000000000004%, Running Loss = 5.677171277999878
Prediction Accuracy = 41.786%, Running Loss = 5.674546756744385
Prediction Accuracy = 42.214%, Running Loss = 5.665999193191528
Prediction Accuracy = 41.596%, Running Loss = 5.694819717407227
Prediction Accuracy = 41.71%, Running Loss = 5.672918529510498
Prediction Accuracy = 42.14%, Running Loss = 5.670605936050415
Prediction Accuracy = 41.324000000000005%, Running Loss = 5.684558897018433
Prediction Accuracy = 42.303999999999995%, Running Loss = 5.6639072132110595
Prediction Accuracy = 42.178000000000004%, Running Loss = 5.691864862442016
Prediction Accuracy = 41.282%, Running Loss = 5.685647125244141
Prediction Accuracy = 40.702000000000005%, Running Loss = 5.664359254837036
Prediction Accuracy = 41.952%, Running Loss = 5.661073923110962
Prediction Accuracy = 42.132%, Running Loss = 5.656685962677002
Prediction Accuracy = 40.534%, Running Loss = 5.674622764587403
Prediction Accuracy = 40.448%, Running Loss = 5.665007781982422
Prediction Accuracy = 40.269999999999996%, Running Loss = 5.679322147369385
Prediction Accuracy = 40.964%, Running Loss = 5.67041880607605
Prediction Accuracy = 41.57599999999999%, Running Loss = 5.673838024139404
Prediction Accuracy = 42.02%, Running Loss = 5.663000259399414
Prediction Accuracy = 42.06399999999999%, Running Loss = 5.668424043655396
Prediction Accuracy = 39.994%, Running Loss = 5.694250364303588
Prediction Accuracy = 42.026%, Running Loss = 5.671431970596314
Prediction Accuracy = 41.224000000000004%, Running Loss = 5.65908109664917
Prediction Accuracy = 41.922%, Running Loss = 5.663754329681397
